salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,class
110499.735409,0.0,54,3,6,4,135000.0,30,354724.18253,1
140893.779095,0.0,44,4,12,7,135000.0,2,395015.33902,1
119159.651677,0.0,49,2,0,3,135000.0,22,122025.085242,1
20000.0,52593.636537,56,0,19,1,135000.0,30,99629.621457,1
93956.320488,0.0,59,1,6,1,135000.0,1,458679.826238,0
41365.433275,52809.153761,71,2,17,2,135000.0,19,216839.71522,0
94805.611125,0.0,32,1,8,1,135000.0,23,233216.070671,0
34410.627599,39884.39038,33,4,8,0,135000.0,6,450707.381211,0
128298.821205,0.0,32,1,10,2,135000.0,12,20768.06415,0
100806.920851,0.0,58,2,18,4,135000.0,6,293106.654574,1
49863.409639,57814.619316,22,1,3,1,135000.0,12,156086.686705,0
94554.188041,0.0,47,4,3,2,135000.0,4,100467.990035,1
79637.658225,0.0,41,2,0,3,135000.0,6,387564.547558,0
87085.578949,0.0,40,4,19,2,135000.0,19,458378.00043,0
126945.666346,0.0,62,3,14,4,135000.0,23,211178.901443,1
29080.920827,53569.29067,58,1,4,3,135000.0,17,29965.975174,1
147561.725782,0.0,28,4,16,8,98520.657576,22,322196.314681,0
72346.05200499999,37970.09814,37,3,6,8,102562.128342,10,403166.447041,0
52129.771951,29213.60412,44,3,19,6,135000.0,29,73639.45892599999,1
35640.041611,71087.291225,57,3,1,8,59892.824467,26,91722.424343,1
100868.906606,0.0,39,0,15,2,135000.0,21,300078.362616,1
98780.080678,0.0,77,1,3,6,135000.0,30,139597.953701,0
140685.819734,0.0,73,2,18,1,135000.0,6,185189.308756,0
109305.195424,0.0,31,2,8,0,135000.0,20,166310.237898,0
117212.378274,0.0,30,3,16,7,121933.939069,17,260175.806958,0
41430.318614,32585.778723000003,53,2,1,5,135000.0,12,7023.300616,1
56118.046437,27368.070182,69,4,11,8,135000.0,22,41596.720909,0
79203.784486,0.0,75,2,14,0,135000.0,21,461032.093887,0
136189.431676,0.0,56,0,3,6,135000.0,11,152598.13105599998,1
67249.514591,43940.470131,30,2,2,6,135000.0,17,455241.077612,0
22854.242095,66152.441552,72,2,16,1,135000.0,20,321523.487845,0
30211.410747,19896.923048,41,0,10,4,135000.0,11,481293.521302,1
116690.5653,0.0,50,2,1,1,135000.0,29,199885.563089,1
94375.877188,0.0,27,3,9,4,135000.0,27,403469.110046,0
91129.126405,0.0,75,3,1,6,135000.0,26,328625.35095500003,0
94446.248902,0.0,67,3,18,5,135000.0,30,352264.61212,0
